id,start_date,start_time,_type,end_date,end_time,primary_organizer_id,primary_organizer.name,name,summary,primary_venue.name,primary_venue.address.longitude,primary_venue.address.latitude,primary_venue.address.localized_address_display
166558235165,2022-06-15,08:00,destination_event,2022-06-16,16:00,23460133378,Indiana Association of School Nurses,"Moving Forward with Courage and Compassion June 15 & 16,  2022 ATTENDEE",IASN  annual conference for school nurses.,Embassy Suites by Hilton Noblesville Indianapolis Conference Center,-85.92041919999997,39.9921291,"13700 Conference Drive, Noblesville, IN 46060"
163049668949,2022-06-15,08:00,destination_event,2022-06-16,16:00,23460133378,Indiana Association of School Nurses,"Moving  Forward with Courage and Compassion June15 and16,  2021 -VENDOR","Vendor Registration for the Indiana Association of School Nurse annual conference November 17, 2021 and November 18, 2021.",Embassy Suites by Hilton Noblesville Indianapolis Conference Center,-85.92041919999997,39.9921291,"13700 Conference Drive, Noblesville, IN 46060"
166091268455,2022-05-17,19:00,destination_event,2022-05-17,20:00,33993024089,East Central IN CASA,East Central Indiana CASA Volunteer Informational Meetings,"Think you might be interested in volunteering and want more information? Attend one of our free, no obligation meetings to learn more.",3538 Mounds Rd,-85.62931200000001,40.09083199999999,"3538 Mounds Road, Anderson, IN 46017"
170421104110,2022-05-19,09:00,destination_event,2022-05-20,01:00,18449909606,Educera INC,"ITIL Foundation Certification Training in Bloomington, IN",Educera's ITIL® Foundation Exam Prep is designed and developed by the global panel of ITIL®,Business Centre,-86.52638569999999,39.165325,"Bloomington, IN 47401"
164051092233,2022-05-19,09:00,destination_event,2022-05-19,10:30,34007720247,,Networking Today Intl - Bloomington Indiana Weekly Meeting,Networking Today Intl is a national networking organization.  Visitors are welcome to try  3 meetings for free to see what NTI is about.,Crazy Horse,-86.53569949999999,39.1668794,"214 West Kirkwood Avenue, Bloomington, IN 47404"
163075263503,2022-06-12,16:00,destination_event,2022-06-12,18:00,28780848481,One World at Woolery Mill,One World Catering - Tastings 2021/2022,One World Catering - Tastings,Woolery Mill,-86.5596395,39.1386872,"2250 W Sunstone Drive, Bloomington, IN 47403"
164750570391,2022-08-07,08:00,destination_event,2022-08-07,12:00,16851187343,Muddy Princess Corporation,"Muddy Princess Indianapolis, IN",Muddy Princess is an outdoor 5km (3.1 mile) obstacle mud run for women - and women ONLY!,Wildcat Creek MX,-86.659201,40.458238,"6390 South Wildwood Road, Rossville, IN 46065"
189576968817,2022-05-24,09:00,destination_event,2022-05-27,17:00,18449909606,Educera INC,"Copy of Devops Classroom Training in Lafayette, IN",Welcome to Educera! We thank you for visiting Educera Devops training page.,"Lafayette, IN",-86.9270677,40.4233916,"Regus Business Center, Lafayette, IN, IN 47901"
165359230911,2022-05-21,07:00,destination_event,2022-05-21,19:00,28426712763,VIP*NCCC,Career Event for Purdue Students,"Disaster Response Training- Students, New Graduates",Virtual Event,-86.9261008,40.4401775,"., West Lafayette, IN 47907"
166957818329,2022-05-16,19:45,destination_event,2022-05-16,20:30,23406223633,HC2 Instructors,Vinyasa Yoga with Jess,"Vinyasa is a style of yoga characterized by stringing postures together so that you move from one to another, seamlessly, using breath.",Hartford City Health Club,-85.37236779999999,40.4654502,"1760 N Independence Parkway, Hartford City, IN 47348"
166939050193,2022-06-18,13:00,destination_event,2022-06-18,15:00,31264575715,Oak Heritage Conservancy,Monthly Nature Journal Guild Time - June 18,"Let's spend time together to strengthen our connections to nature hiking, journaling, and reflecting on our experiences.  All ages welcome.",Tribbett's Woods Nature Preserve,-85.729477,38.876547,"750 S, Commiskey, IN 47227"
